Classificação:,País /Região:,Indícies:
1,Suíça,"95,3"
2,Islândia,"95,2"
3,Áustria,"94,5"
4,Japão,94
5,Finlândia,"93,4"
6,Dinamarca,"93,1"
7,Austrália,"92,2"
8,Alemanha,"91,6"
9,Cingapura,"91,6"
10,Nova Zelândia,"91,4"
11,Irlanda,91
12,Eslovênia,"90,8"
13,Bélgica,"90,3"
14,República Tcheca,"90,3"
15,Canadá,"89,8"
16,Noruega,"89,7"
17,Suécia,"89,7"
18,Holanda,89
19,Lituânia,89
20,Estônia,"88,9"
21,Portugal,"88,5"
22,Eslováquia,"85,9"
23,Letônia,"85,8"
24,Polônia,"85,6"
25,Croácia,"85,2"
26,Espanha,"85,1"
27,Reino Unido,85
28,Coréia do Sul,"84,5"
29,Hungria,"84,4"
30,Grécia,"84,1"
31,Itália,84
32,Bulgária,"83,8"
33,França,"83,6"
34,Chipre,"83,2"
35,Uruguai,"82,7"
36,Romênia,81.1
37,Catar,"80,8"
38,Emirados Árabes Unidos,"79,7"
39,Montenegro,"79,4"
40,Cazaquistão,"79,3"
